Line: R29, Position: 79, Quotient: 0, Password: 0
Line: R41, Position: 20, Quotient: 1, Password: 1
Line: R8, Position: 28, Quotient: 0, Password: 1
Line: R50, Position: 78, Quotient: 0, Password: 1
Line: L27, Position: 51, Quotient: 0, Password: 1
Line: R40, Position: 91, Quotient: 0, Password: 1
Line: R31, Position: 22, Quotient: 1, Password: 2
Line: R30, Position: 52, Quotient: 0, Password: 2
Line: L20, Position: 32, Quotient: 0, Password: 2
Line: R20, Position: 52, Quotient: 0, Password: 2
Line: R20, Position: 72, Quotient: 0, Password: 2
Line: R50, Position: 22, Quotient: 1, Password: 3
Line: R22, Position: 44, Quotient: 0, Password: 3
Line: L6, Position: 38, Quotient: 0, Password: 3
Line: L21, Position: 17, Quotient: 0, Password: 3
Line: R15, Position: 32, Quotient: 0, Password: 3
Line: L30, Position: 2, Quotient: 0, Password: 3
Line: R7, Position: 9, Quotient: 0, Password: 3
Line: L4, Position: 5, Quotient: 0, Password: 3
Line: R32, Position: 37, Quotient: 0, Password: 3
Line: R22, Position: 59, Quotient: 0, Password: 3
Line: R20, Position: 79, Quotient: 0, Password: 3
Line: L33, Position: 46, Quotient: 0, Password: 3
Line: L9, Position: 37, Quotient: 0, Password: 3
Line: L8, Position: 29, Quotient: 0, Password: 3
Line: L47, Position: 82, Quotient: -1, Password: 4
Line: R14, Position: 96, Quotient: 0, Password: 4
Line: L27, Position: 69, Quotient: 0, Password: 4
Line: L20, Position: 49, Quotient: 0, Password: 4
Line: R5, Position: 54, Quotient: 0, Password: 4
Line: R30, Position: 84, Quotient: 0, Password: 4
Line: L47, Position: 37, Quotient: 0, Password: 4
Line: R6, Position: 43, Quotient: 0, Password: 4
Line: R21, Position: 64, Quotient: 0, Password: 4
Line: R30, Position: 94, Quotient: 0, Password: 4
Line: L10, Position: 84, Quotient: 0, Password: 4
Line: L20, Position: 64, Quotient: 0, Password: 4
Line: L6, Position: 58, Quotient: 0, Password: 4
Line: L45, Position: 13, Quotient: 0, Password: 4
Line: L18, Position: 95, Quotient: -1, Password: 5
Line: R47, Position: 42, Quotient: 1, Password: 6
Line: L49, Position: 93, Quotient: -1, Password: 7
Line: R7, Position: 0, Quotient: 1, Password: 8
Line: L16, Position: 84, Quotient: -1, Password: 8
Line: R21, Position: 5, Quotient: 1, Password: 9
Line: R44, Position: 49, Quotient: 0, Password: 9
Line: R45, Position: 94, Quotient: 0, Password: 9
Line: R29, Position: 23, Quotient: 1, Password: 10
Line: R26, Position: 49, Quotient: 0, Password: 10
Line: L68, Position: 81, Quotient: -1, Password: 11
Line: L72, Position: 9, Quotient: 0, Password: 11
Line: R91, Position: 0, Quotient: 1, Password: 12
Line: R63, Position: 63, Quotient: 0, Password: 12
Line: R29, Position: 92, Quotient: 0, Password: 12
Line: R22, Position: 14, Quotient: 1, Password: 13
Line: R86, Position: 0, Quotient: 1, Password: 14
Line: R31, Position: 31, Quotient: 0, Password: 14
Line: L31, Position: 0, Quotient: 0, Password: 15
Line: R4, Position: 4, Quotient: 0, Password: 15
Line: L42, Position: 62, Quotient: -1, Password: 16
Line: L7, Position: 55, Quotient: 0, Password: 16
Line: L77, Position: 78, Quotient: -1, Password: 17
Line: L39, Position: 39, Quotient: 0, Password: 17
Line: R61, Position: 0, Quotient: 1, Password: 18
Line: L22, Position: 78, Quotient: -1, Password: 18
Line: L8, Position: 70, Quotient: 0, Password: 18
Line: L17, Position: 53, Quotient: 0, Password: 18
Line: L38, Position: 15, Quotient: 0, Password: 18
Line: L97, Position: 18, Quotient: -1, Password: 19
Line: R82, Position: 0, Quotient: 1, Password: 20
Line: R2, Position: 2, Quotient: 0, Password: 20
Line: L51, Position: 51, Quotient: -1, Password: 21
Line: L51, Position: 0, Quotient: 0, Password: 22
Line: L25, Position: 75, Quotient: -1, Password: 22
Line: L75, Position: 0, Quotient: 0, Password: 23
Line: L20, Position: 80, Quotient: -1, Password: 23
Line: R20, Position: 0, Quotient: 1, Password: 24
Line: R61, Position: 61, Quotient: 0, Password: 24
Line: L14, Position: 47, Quotient: 0, Password: 24
Line: L11, Position: 36, Quotient: 0, Password: 24
Line: L70, Position: 66, Quotient: -1, Password: 25
Line: R94, Position: 60, Quotient: 1, Password: 26
Line: L58, Position: 2, Quotient: 0, Password: 26
Line: L95, Position: 7, Quotient: -1, Password: 27
Line: L48, Position: 59, Quotient: -1, Password: 28
Line: L94, Position: 65, Quotient: -1, Password: 29
Line: L76, Position: 89, Quotient: -1, Password: 30
Line: R95, Position: 84, Quotient: 1, Password: 31
Line: R69, Position: 53, Quotient: 1, Password: 32
Line: L76, Position: 77, Quotient: -1, Password: 33
Line: L50, Position: 27, Quotient: 0, Password: 33
Line: R1, Position: 28, Quotient: 0, Password: 33
Line: L28, Position: 0, Quotient: 0, Password: 34
Line: R62, Position: 62, Quotient: 0, Password: 34
Line: L62, Position: 0, Quotient: 0, Password: 35
Line: L22, Position: 78, Quotient: -1, Password: 35
Line: R22, Position: 0, Quotient: 1, Password: 36
